"Brasil, Unidade da Federação e Município",,cód ibge 6,Total 2010,Alfabetizadas 2010,Não alfabetizadas 2010,% não alfab,Total 2022,Alfabetizadas 2022,Não alfabetizadas,% não alfab 2022,Queda 2022 x 2010,
São João del Rei/MG,MG,316250,68405,65691,2714,"3,97%",76571,74455,2116,"2,76%","30,35%",
Lorena/SP,SP,352720,64424,62050,2374,"3,68%",69453,67536,1917,"2,76%","25,10%",
Áurea/RS,RS,430155,3007,2844,163,"5,42%",2934,2853,81,"2,76%","49,07%",
São José do Inhacorá/RS,RS,431849,1868,1818,50,"2,68%",2062,2005,57,"2,76%","-3,27%",
Sapiranga/RS,RS,431990,57042,54809,2233,"3,91%",61112,59427,1685,"2,76%","29,57%",
Ribeirão Vermelho/MG,MG,315470,3092,2933,159,"5,14%",3388,3294,94,"2,77%","46,05%",
Taboão da Serra/SP,SP,355280,185963,178584,7379,"3,97%",221516,215379,6137,"2,77%","30,18%",
Carlos Gomes/RS,RS,430485,1330,1267,63,"4,74%",1193,1160,33,"2,77%","41,60%",
Brasília/DF,DF,530010,1961667,1893553,68114,"3,47%",2283148,2219866,63282,"2,77%","20,18%",
Distrito Federal,DF,#N/A,1961667,1893553,68114,"3,47%",2283148,2219866,63282,"2,77%","20,18%",
Iporã do Oeste/SC,SC,420765,6666,6444,222,"3,33%",7722,7507,215,"2,78%","16,40%",
Armação dos Búzios/RJ,RJ,330023,21020,20062,958,"4,56%",32250,31351,899,"2,79%","38,84%",9
Osório/RS,RS,431350,32158,30810,1348,"4,19%",38763,37683,1080,"2,79%","33,53%",
Selbach/RS,RS,432030,4037,3886,151,"3,74%",4294,4174,120,"2,79%","25,29%",
Valparaíso de Goiás/GO,GO,522185,95791,92326,3465,"3,62%",153149,148882,4267,"2,79%","22,98%",
Ananindeua/PA,PA,150080,349196,337190,12006,"3,44%",383780,373031,10749,"2,80%","18,54%",
Limeira/SP,SP,352690,219175,210422,8753,"3,99%",242666,235879,6787,"2,80%","29,97%",
Tremembé/SP,SP,355480,32344,31094,1250,"3,86%",42464,41276,1188,"2,80%","27,61%",
Mogi Guaçu/SP,SP,353070,109014,104321,4693,"4,30%",126389,122838,3551,"2,81%","34,74%",
Osasco/SP,SP,353440,518705,500600,18090,"3,49%",592862,576209,16653,"2,81%","19,46%",
Pelotas/RS,RS,431440,263141,252284,10857,"4,13%",270187,262591,7596,"2,81%","31,86%",
Travesseiro/RS,RS,432162,1972,1893,79,"4,01%",1889,1836,53,"2,81%","29,96%",
Mirassol/SP,SP,353030,43583,41609,1974,"4,53%",52061,50593,1468,"2,82%","37,74%",
Ribeirão Pires/SP,SP,354330,89611,86499,3112,"3,47%",95922,93216,2706,"2,82%","18,77%",
Araucária/PR,PR,410180,89062,85899,3163,"3,55%",119259,115883,3376,"2,83%","20,29%",
Morrinhos do Sul/RS,RS,431244,2668,2436,232,"8,70%",2612,2538,74,"2,83%","67,42%",
Londrina/PR,PR,411370,401426,383323,18103,"4,51%",458951,445904,13047,"2,84%","36,96%",
Treze Tílias/SC,SC,421850,4915,4695,220,"4,48%",6932,6735,197,"2,84%","36,51%",
Torres/RS,RS,432150,27428,26166,1262,"4,60%",34502,33521,981,"2,84%","38,20%",
Lucas do Rio Verde/MT,MT,510525,34044,32931,1113,"3,27%",63328,61530,1798,"2,84%","13,16%",
Biguaçu/SC,SC,420230,44639,42564,2075,"4,65%",62107,60336,1771,"2,85%","38,66%",
Anhanguera/GO,GO,520120,805,775,30,"3,73%",773,751,22,"2,85%","23,63%",
João Monlevade/MG,MG,313620,58063,55667,2396,"4,13%",66186,64293,1893,"2,86%","30,69%",
Nova Santa Rosa/PR,PR,411722,6071,5883,188,"3,10%",6738,6545,193,"2,86%","7,50%",
Braço do Trombudo/SC,SC,420285,2729,2637,92,"3,37%",3250,3157,93,"2,86%","15,12%",
Maravilha/SC,SC,421050,17497,16649,848,"4,85%",22923,22267,656,"2,86%","40,95%",
Almirante Tamandaré do Sul/RS,RS,430047,1709,1636,73,"4,27%",1644,1597,47,"2,86%","33,07%",
Montenegro/RS,RS,431240,46866,45113,1753,"3,74%",52423,50922,1501,"2,86%","23,45%",
Capitólio/MG,MG,311280,6525,6061,464,"7,11%",8603,8356,247,"2,87%","59,63%",
Divinópolis/MG,MG,312230,170242,163814,6428,"3,78%",192917,187378,5539,"2,87%","23,96%",
Uberlândia/MG,MG,317020,478424,460523,17899,"3,74%",582765,566051,16714,"2,87%","23,34%",
Iracemápolis/SP,SP,352140,15818,15274,544,"3,44%",18006,17489,517,"2,87%","16,51%",
Forquilhinha/SC,SC,420545,17180,16527,653,"3,80%",24662,23953,709,"2,87%","24,36%",
Gravatal/SC,SC,420620,8438,7983,455,"5,39%",10170,9878,292,"2,87%","46,75%",
Cândido Godói/RS,RS,430430,5442,5258,184,"3,38%",5375,5221,154,"2,87%","15,26%",
Uruguaiana/RS,RS,432240,92783,89005,3778,"4,07%",93097,90427,2670,"2,87%","29,57%",
Tatuí/SP,SP,355400,82727,79211,3516,"4,25%",100153,97270,2883,"2,88%","32,27%",
Carazinho/RS,RS,430470,46908,44983,1925,"4,10%",50298,48851,1447,"2,88%","29,90%",
Sant'Ana do Livramento/RS,RS,431710,63473,60786,2687,"4,23%",68151,66186,1965,"2,88%","31,89%",
Agrolândia/SC,SC,420020,7236,6866,370,"5,11%",8799,8545,254,"2,89%","43,55%",
Benedito Novo/SC,SC,420220,8156,7821,335,"4,11%",8676,8425,251,"2,89%","29,57%",
Ijuí/RS,RS,431020,63388,60749,2639,"4,16%",69865,67848,2017,"2,89%","30,66%",
Pouso Alegre/MG,MG,315250,103056,98943,4113,"3,99%",125086,121454,3632,"2,90%","27,25%",
Mallet/PR,PR,411390,10088,9758,330,"3,27%",10985,10666,319,"2,90%","11,23%",
Laguna/SC,SC,420940,40792,38522,2270,"5,56%",35879,34839,1040,"2,90%","47,91%",
Viamão/RS,RS,432300,180775,173197,7578,"4,19%",180686,175454,5232,"2,90%","30,92%",
Portão/RS,RS,431480,23886,22781,1105,"4,63%",27566,26764,802,"2,91%","37,11%",
Campo Grande/MS,MS,500270,608777,584852,23925,"3,93%",713267,692545,20722,"2,91%","26,08%",
Cordeirópolis/SP,SP,351240,16487,15699,788,"4,78%",19772,19195,577,"2,92%","38,94%",
Três Arroios/RS,RS,432163,2486,2388,98,"3,94%",2330,2262,68,"2,92%","25,97%",
Balbinos/SP,SP,350470,3428,3221,207,"6,04%",3648,3541,107,"2,93%","51,43%",
Caçapava/SP,SP,350850,66195,63444,2751,"4,16%",78048,75762,2286,"2,93%","29,52%",
Mogi das Cruzes/SP,SP,353060,295545,283828,11717,"3,96%",363219,352563,10656,"2,93%","26,00%",
Concórdia/SC,SC,420430,54723,52425,2298,"4,20%",66413,64470,1943,"2,93%","30,33%",
Taió/SC,SC,421780,13444,12845,599,"4,46%",14875,14439,436,"2,93%","34,21%",
Santo Ângelo/RS,RS,431750,60279,57729,2550,"4,23%",63145,61295,1850,"2,93%","30,74%",
Ipira/SC,SC,420760,3803,3612,191,"5,02%",3809,3697,112,"2,94%","41,45%",
Belém/PA,PA,150140,1068622,1033058,35557,"3,33%",1068266,1036719,31547,"2,95%","11,25%",
Petrópolis/RJ,RJ,330390,235301,225949,9352,"3,97%",232845,225974,6871,"2,95%","25,75%",10
Anta Gorda/RS,RS,430070,5121,4833,288,"5,62%",5113,4962,151,"2,95%","47,49%",
Cerro Largo/RS,RS,430520,10774,10296,478,"4,44%",11550,11209,341,"2,95%","33,45%",
Encantado/RS,RS,430680,16878,16327,551,"3,26%",19162,18596,566,"2,95%","9,52%",
Três de Maio/RS,RS,432180,19521,18654,867,"4,44%",20694,20084,610,"2,95%","33,63%",
Quatro Barras/PR,PR,412080,14901,14196,705,"4,73%",19192,18623,569,"2,96%","37,34%",
Rio Azul/PR,PR,412200,10598,10156,442,"4,17%",11269,10935,334,"2,96%","28,93%",
Bom Retiro do Sul/RS,RS,430240,9137,8820,317,"3,47%",10020,9723,297,"2,96%","14,57%",
Dom Pedro de Alcântara/RS,RS,430655,2143,2022,121,"5,65%",2159,2095,64,"2,96%","47,50%",
Lindolfo Collor/RS,RS,431162,4016,3864,152,"3,78%",4963,4816,147,"2,96%","21,74%",
Aparecida/SP,SP,350250,27778,26826,952,"3,43%",26934,26135,799,"2,97%","13,44%",
Contenda/PR,PR,410620,11866,11266,600,"5,06%",15145,14695,450,"2,97%","41,24%",
Nova Santa Rita/RS,RS,431337,16902,16133,769,"4,55%",22772,22095,677,"2,97%","34,66%",
Manaus/AM,AM,130260,1293052,1244100,48951,"3,79%",1578170,1531201,46969,"2,98%","21,38%",
Irati/PR,PR,411070,43494,41511,1983,"4,56%",48064,46634,1430,"2,98%","34,74%",
Maripá/PR,PR,411535,4599,4445,154,"3,35%",5231,5075,156,"2,98%","10,94%",
Matinhos/PR,PR,411570,22164,21226,938,"4,23%",31635,30692,943,"2,98%","29,56%",
Aurora/SC,SC,420190,4309,4111,198,"4,60%",5445,5283,162,"2,98%","35,25%",
Siderópolis/SC,SC,421760,10301,9854,447,"4,34%",11327,10989,338,"2,98%","31,23%",
Boa Vista do Incra/RS,RS,430223,1935,1838,97,"5,01%",1844,1789,55,"2,98%","40,50%",
Capão do Cipó/RS,RS,430465,2399,2245,154,"6,42%",2582,2505,77,"2,98%","53,54%",
Araçoiaba da Serra/SP,SP,350290,21136,20099,1037,"4,91%",26979,26171,808,"2,99%","38,96%",
Lins/SP,SP,352710,57531,54631,2900,"5,04%",61814,59967,1847,"2,99%","40,72%",
Santana de Parnaíba/SP,SP,354730,81859,78175,3684,"4,50%",121438,117811,3627,"2,99%","33,63%",
Canoinhas/SC,SC,420380,40167,38427,1740,"4,33%",44176,42855,1321,"2,99%","30,97%",
Lauro Müller/SC,SC,420960,11230,10689,541,"4,82%",11656,11308,348,"2,99%","38,03%",
Vacaria/RS,RS,432250,46933,44515,2418,"5,15%",51318,49784,1534,"2,99%","41,98%",
Sete Lagoas/MG,MG,316720,168035,161328,6707,"3,99%",188650,182997,5653,"3,00%","24,93%",
Araquari/SC,SC,420130,17755,16751,1004,"5,65%",33881,32863,1018,"3,00%","46,87%",
Coronel Pilar/RS,RS,430593,1461,1403,58,"3,97%",1432,1389,43,"3,00%","24,36%",
Pejuçara/RS,RS,431430,3224,3085,139,"4,31%",3131,3037,94,"3,00%","30,37%",
São Sebastião do Caí/RS,RS,431950,17360,16751,609,"3,51%",19963,19364,599,"3,00%","14,47%",
Cachoeira da Prata/MG,MG,310960,2953,2838,115,"3,89%",3091,2998,93,"3,01%","22,74%",
Arabutã/SC,SC,420127,3391,3254,137,"4,04%",3586,3478,108,"3,01%","25,45%",
São Gonçalo/RJ,RJ,330490,793034,764651,28381,"3,58%",747016,724426,22590,"3,02%","15,50%",11
Boituva/SP,SP,350700,37458,35614,1844,"4,92%",49366,47874,1492,"3,02%","38,61%",
Cruzeiro do Sul/RS,RS,430620,9980,9598,382,"3,83%",9803,9507,296,"3,02%","21,11%",
Getúlio Vargas/RS,RS,430890,13234,12689,545,"4,12%",13955,13534,421,"3,02%","26,74%",
Sarandi/RS,RS,432010,16936,16082,854,"5,04%",18560,18000,560,"3,02%","40,16%",
Itabirito/MG,MG,313190,35517,34095,1422,"4,00%",43219,41909,1310,"3,03%","24,29%",
Araricá/RS,RS,430087,3713,3530,183,"4,93%",6763,6558,205,"3,03%","38,50%",
Balneário Arroio do Silva/SC,SC,420195,7510,7139,371,"4,94%",12774,12386,388,"3,04%","38,51%",
Ituporanga/SC,SC,420850,17121,16327,794,"4,64%",21301,20653,648,"3,04%","34,40%",
Charqueadas/RS,RS,430535,28332,26983,1349,"4,76%",29405,28510,895,"3,04%","36,08%",
Barra Mansa/RJ,RJ,330040,140524,134962,5562,"3,96%",140595,136303,4292,"3,05%","22,87%",12
Jandira/SP,SP,352500,81218,77615,3603,"4,44%",94444,91559,2885,"3,05%","31,14%",
Mogi Mirim/SP,SP,353080,69577,66512,3065,"4,41%",76948,74603,2345,"3,05%","30,82%",
Pato Bragado/PR,PR,411845,3789,3645,144,"3,80%",4596,4456,140,"3,05%","19,85%",
Humaitá/RS,RS,430970,4057,3913,144,"3,55%",3968,3847,121,"3,05%","14,09%",
Cotia/SP,SP,351300,151790,145008,6782,"4,47%",216858,210224,6634,"3,06%","31,53%",
Marechal Cândido Rondon/PR,PR,411460,37306,35872,1434,"3,84%",45257,43873,1384,"3,06%","20,44%",
Grão-Pará/SC,SC,420610,4918,4679,239,"4,86%",5036,4882,154,"3,06%","37,07%",
Presidente Castello Branco/SC,SC,421390,1405,1339,66,"4,70%",1406,1363,43,"3,06%","34,89%",
Vera Cruz/RS,RS,432270,19086,18185,901,"4,72%",22238,21558,680,"3,06%","35,23%",
Hortolândia/SP,SP,351907,147445,140611,6834,"4,63%",190534,184677,5857,"3,07%","33,68%",
Sertão/RS,RS,432050,5148,4834,314,"6,10%",4724,4579,145,"3,07%","49,68%",
Itaú de Minas/MG,MG,313375,11863,11275,588,"4,96%",11995,11625,370,"3,08%","37,77%",
Jaú/SP,SP,352530,104527,99599,4928,"4,71%",111008,107587,3421,"3,08%","34,63%",
Pirassununga/SP,SP,353930,56042,53777,2265,"4,04%",60745,58872,1873,"3,08%","23,71%",
Campo Largo/PR,PR,410420,86131,82251,3880,"4,50%",109671,106298,3373,"3,08%","31,73%",
Palmeira/PR,PR,411770,24295,23267,1028,"4,23%",27115,26279,836,"3,08%","27,13%",
Jaguaruna/SC,SC,420880,13661,12775,886,"6,49%",16617,16105,512,"3,08%","52,49%",
Luiz Alves/SC,SC,421000,7995,7644,351,"4,39%",9280,8994,286,"3,08%","29,80%",
Santa Rosa de Lima/SC,SC,421560,1678,1597,81,"4,83%",1752,1698,54,"3,08%","36,15%",
Ajuricaba/RS,RS,430020,5920,5616,304,"5,14%",5689,5514,175,"3,08%","40,10%",
Barão de Cotegipe/RS,RS,430170,5316,5113,203,"3,82%",6007,5822,185,"3,08%","19,35%",
Capivari/SP,SP,351040,37525,35647,1878,"5,00%",40699,39441,1258,"3,09%","38,24%",
Pontal do Paraná/PR,PR,411995,15922,15153,769,"4,83%",24792,24026,766,"3,09%","36,03%",
Porto Vitória/PR,PR,412030,2997,2816,181,"6,04%",2845,2757,88,"3,09%","48,78%",
São José do Rio Pardo/SP,SP,354970,41976,39964,2012,"4,79%",43314,41973,1341,"3,10%","35,41%",
Antônio Prado/RS,RS,430080,10556,10048,508,"4,81%",11116,10771,345,"3,10%","35,51%",
Dois Lajeados/RS,RS,430645,2796,2653,143,"5,11%",2647,2565,82,"3,10%","39,43%",
Palmas/TO,TO,172100,167524,161225,6299,"3,76%",234235,226943,7292,"3,11%","17,21%",
Mato Queimado/RS,RS,431217,1449,1339,110,"7,59%",1509,1462,47,"3,11%","58,97%",
Rio Grande do Sul,RS,#N/A,8464425,8081132,383277,"4,53%",8976455,8697640,278815,"3,11%","31,40%",
São Paulo,SP,#N/A,32401281,30998658,1402548,"4,33%",36436075,35302654,1133421,"3,11%","28,14%",
Timóteo/MG,MG,316870,63680,60840,2840,"4,46%",67123,65027,2096,"3,12%","29,98%",
Itamonte/MG,MG,313300,11000,10337,663,"6,03%",12194,11812,382,"3,13%","48,02%",
Uberaba/MG,MG,317010,237991,227939,10052,"4,22%",276658,267994,8664,"3,13%","25,85%",
Itapetininga/SP,SP,352230,110581,105556,5025,"4,54%",127706,123714,3992,"3,13%","31,21%",
Aratiba/RS,RS,430090,5524,5283,241,"4,36%",5579,5404,175,"3,14%","28,10%",
Pará de Minas/MG,MG,314710,65818,63248,2570,"3,90%",80013,77490,2523,"3,15%","19,25%",
Águas da Prata/SP,SP,350040,6213,5835,378,"6,08%",6221,6025,196,"3,15%","48,21%",
Sales Oliveira/SP,SP,354490,8423,7997,426,"5,06%",9436,9139,297,"3,15%","37,77%",
Tuparendi/RS,RS,432230,7265,6890,375,"5,16%",7196,6969,227,"3,15%","38,89%",
Iguaba Grande/RJ,RJ,330187,18032,17258,774,"4,29%",23098,22367,731,"3,16%","26,27%",13
Colombo/PR,PR,410580,157123,149822,7301,"4,65%",183779,177965,5814,"3,16%","31,92%",
Cunhataí/SC,SC,420475,1519,1459,60,"3,95%",1643,1591,52,"3,16%","19,87%",
Tijucas/SC,SC,421800,24090,22681,1409,"5,85%",40899,39605,1294,"3,16%","45,91%",
Três Coroas/RS,RS,432170,18561,17825,736,"3,97%",19880,19252,628,"3,16%","20,34%",
Cascavel/PR,PR,410480,221158,211292,9866,"4,46%",279812,270936,8876,"3,17%","28,89%",
Nova Trento/SC,SC,421150,9834,9475,359,"3,65%",11364,11004,360,"3,17%","13,22%",
Nova Hartz/RS,RS,431306,13852,13388,464,"3,35%",16080,15570,510,"3,17%","5,32%",
Arraial do Cabo/RJ,RJ,330025,21499,20520,979,"4,55%",25467,24657,810,"3,18%","30,15%",14
Brodowski/SP,SP,350780,16460,15778,682,"4,14%",20545,19891,654,"3,18%","23,17%",
Herval d'Oeste/SC,SC,420670,16656,15855,801,"4,81%",17869,17300,569,"3,18%","33,79%",
Turvo/SC,SC,421880,9399,8957,442,"4,70%",10734,10393,341,"3,18%","32,45%",
São João Nepomuceno/MG,MG,316290,19946,18881,1065,"5,34%",21135,20460,675,"3,19%","40,19%",
Varginha/MG,MG,317070,97257,92734,4523,"4,65%",111959,108382,3577,"3,19%","31,30%",
Araras/SP,SP,350330,95460,90930,4526,"4,74%",108275,104819,3456,"3,19%","32,68%",
Penápolis/SP,SP,353730,47010,44441,2569,"5,46%",50660,49046,1614,"3,19%","41,70%",
Pedras Grandes/SC,SC,421240,3351,3182,169,"5,04%",3576,3462,114,"3,19%","36,79%",
União da Serra/RS,RS,432235,1284,1220,64,"4,98%",1036,1003,33,"3,19%","36,09%",
Primavera do Leste/MT,MT,510704,38976,37138,1838,"4,72%",65064,62988,2076,"3,19%","32,34%",
Congonhas/MG,MG,311800,37665,35972,1693,"4,49%",42610,41245,1365,"3,20%","28,73%",
Brotas/SP,SP,350790,16794,15693,1101,"6,56%",19675,19045,630,"3,20%","51,16%",
Catanduva/SP,SP,351110,92340,88008,4332,"4,69%",96556,93470,3086,"3,20%","31,87%",
Cedral/SP,SP,351130,6486,6077,409,"6,31%",10337,10006,331,"3,20%","49,22%",
Araxá/MG,MG,310400,74634,71457,3177,"4,26%",90572,87667,2905,"3,21%","24,65%",
Santa Gertrudes/SP,SP,354670,16472,15701,771,"4,68%",18853,18248,605,"3,21%","31,44%",
Dona Emma/SC,SC,420510,2837,2719,118,"4,16%",3369,3261,108,"3,21%","22,93%",
Sarzedo/MG,MG,316553,18925,17813,1112,"5,88%",29258,28316,942,"3,22%","45,21%",
Amparo/SP,SP,350190,53533,51015,2518,"4,70%",57127,55285,1842,"3,22%","31,45%",
Diadema/SP,SP,351380,295300,282425,12875,"4,36%",321600,311229,10371,"3,22%","26,04%",
Guarulhos/SP,SP,351880,923458,885570,37888,"4,10%",1037197,1003779,33418,"3,22%","21,47%",
Cunha Porã/SC,SC,420470,8596,8177,419,"4,87%",9066,8774,292,"3,22%","33,92%",
Cidreira/RS,RS,430545,9775,9417,358,"3,66%",13964,13515,449,"3,22%","12,20%",
Campo Limpo Paulista/SP,SP,350960,56959,54557,2402,"4,22%",62530,60509,2021,"3,23%","23,36%",
São Vicente/SP,SP,355100,257185,246382,10803,"4,20%",269505,260788,8717,"3,23%","23,00%",
Vargem Grande Paulista/SP,SP,355645,32469,31135,1334,"4,11%",40341,39040,1301,"3,23%","21,50%",
Imbituba/SC,SC,420730,31833,29957,1876,"5,89%",43007,41617,1390,"3,23%","45,16%",
Chapadão do Sul/MS,MS,500295,14629,13954,675,"4,61%",23717,22950,767,"3,23%","29,91%",
Resende/RJ,RJ,330420,93486,89548,3938,"4,21%",106210,102773,3437,"3,24%","23,18%",15
Ourinhos/SP,SP,353470,81183,77144,4039,"4,98%",85192,82436,2756,"3,24%","34,98%",
São Mateus do Sul/PR,PR,412560,30995,29804,1191,"3,84%",33888,32790,1098,"3,24%","15,68%",
Campo Alegre/SC,SC,420330,8895,8504,391,"4,40%",10094,9767,327,"3,24%","26,30%",
Salete/SC,SC,421530,5670,5409,261,"4,60%",6072,5875,197,"3,24%","29,52%",
Sombrio/SC,SC,421770,20287,19195,1092,"5,38%",23746,22976,770,"3,24%","39,76%",
Roseira/SP,SP,354430,7400,7006,394,"5,32%",8640,8359,281,"3,25%","38,92%",
Mauá/SP,SP,352940,321092,308437,12655,"3,94%",340612,329506,11106,"3,26%","17,27%",
Pedreira/SP,SP,353710,33282,31724,1558,"4,68%",36104,34927,1177,"3,26%","30,36%",
Chapada/RS,RS,430530,7836,7501,335,"4,28%",8057,7794,263,"3,26%","23,65%",
Paulo Bento/RS,RS,431413,1813,1738,75,"4,14%",1838,1778,60,"3,26%","21,09%",
Rio Grande/RS,RS,431560,154942,147734,7208,"4,65%",156944,151820,5124,"3,26%","29,82%",
Severiano de Almeida/RS,RS,432060,3172,2977,195,"6,15%",2916,2821,95,"3,26%","47,01%",
Três Cachoeiras/RS,RS,432166,8196,7711,485,"5,92%",8995,8702,293,"3,26%","44,95%",
Santiago/RS,RS,431740,39366,37540,1826,"4,64%",41118,39773,1345,"3,27%","29,48%",
Taquara/RS,RS,432120,42436,40593,1843,"4,34%",43551,42125,1426,"3,27%","24,61%",
Cuiabá/MT,MT,510340,424673,406615,18056,"4,25%",516243,499360,16883,"3,27%","23,08%",
Rio de Janeiro,RJ,#N/A,12604290,12064878,539383,"4,28%",13199028,12766164,432864,"3,28%","23,36%",16
Ilhabela/SP,SP,352040,21307,20175,1132,"5,31%",28128,27205,923,"3,28%","38,24%",
Sananduva/RS,RS,431660,12683,11981,702,"5,53%",13912,13455,457,"3,28%","40,65%",
Bernardino de Campos/SP,SP,350630,8568,8038,530,"6,19%",9703,9384,319,"3,29%","46,85%",
Birigui/SP,SP,350650,87644,83701,3943,"4,50%",98184,94957,3227,"3,29%","26,94%",
Piquete/SP,SP,353850,11258,10718,540,"4,80%",10419,10076,343,"3,29%","31,37%",
Balneário Barra do Sul/SC,SC,420205,6611,6366,245,"3,71%",12245,11842,403,"3,29%","11,19%",
Gaurama/RS,RS,430870,4863,4665,198,"4,07%",4899,4738,161,"3,29%","19,28%",
Ubiretama/RS,RS,432234,1884,1806,78,"4,14%",1730,1673,57,"3,29%","20,42%",
Piraju/SP,SP,353880,22412,21096,1316,"5,87%",24257,23456,801,"3,30%","43,76%",
Votuporanga/SP,SP,355710,69690,66073,3617,"5,19%",80491,77832,2659,"3,30%","36,35%",
Trombudo Central/SC,SC,421860,5151,4928,223,"4,33%",5934,5738,196,"3,30%","23,71%",
Nova Esperança do Sul/RS,RS,431303,3801,3604,197,"5,18%",4096,3961,135,"3,30%","36,41%",
Monte Alto/SP,SP,353130,37996,36026,1970,"5,18%",40043,38718,1325,"3,31%","36,18%",
Lacerdópolis/SC,SC,420920,1774,1678,96,"5,41%",1902,1839,63,"3,31%","38,79%",
Maracajá/SC,SC,421040,4919,4647,272,"5,53%",6186,5981,205,"3,31%","40,07%",
São Miguel do Oeste/SC,SC,421720,29179,27826,1353,"4,64%",36442,35235,1207,"3,31%","28,57%",
Itaiópolis/SC,SC,420810,14987,14283,704,"4,70%",17459,16880,579,"3,32%","29,40%",
Guabiju/RS,RS,430925,1362,1300,62,"4,55%",1234,1193,41,"3,32%","27,01%",
Parobé/RS,RS,431405,38827,37055,1772,"4,56%",41623,40241,1382,"3,32%","27,25%",
Balneário Gaivota/SC,SC,420207,6377,5975,402,"6,30%",12611,12191,420,"3,33%","47,17%",
Rodeio/SC,SC,421510,8976,8623,353,"3,93%",10607,10254,353,"3,33%","15,38%",
Maratá/RS,RS,431179,2090,2026,64,"3,06%",2129,2058,71,"3,33%","-8,91%",
Mato Leitão/RS,RS,431215,3131,3012,119,"3,80%",4050,3915,135,"3,33%","12,30%",
Arcos/MG,MG,310420,29393,27940,1453,"4,94%",34179,33038,1141,"3,34%","32,47%",
Cabo Frio/RJ,RJ,330070,141867,134749,7118,"5,02%",179231,173241,5990,"3,34%","33,39%",17
Mendes/RJ,RJ,330280,14480,13688,792,"5,47%",14620,14131,489,"3,34%","38,85%",18
Rio Negrinho/SC,SC,421500,29489,28364,1125,"3,81%",31613,30558,1055,"3,34%","12,52%",
Catalão/GO,GO,520510,68003,64242,3761,"5,53%",92603,89507,3096,"3,34%","39,55%",
Patos de Minas/MG,MG,314800,110540,104498,6042,"5,47%",132350,127921,4429,"3,35%","38,78%",
Salto de Pirapora/SP,SP,354530,30772,28356,2416,"7,85%",35521,34330,1191,"3,35%","57,29%",
Arroio do Padre/RS,RS,430107,2225,2119,106,"4,76%",2238,2163,75,"3,35%","29,66%",
Cosmópolis/SP,SP,351280,45270,43082,2188,"4,83%",48566,46932,1634,"3,36%","30,39%",
Barra Funda/RS,RS,430195,1932,1834,98,"5,07%",2086,2016,70,"3,36%","33,84%",
Faxinal do Soturno/RS,RS,430800,5421,5142,279,"5,15%",5682,5491,191,"3,36%","34,69%",
Ilha Solteira/SP,SP,352044,20417,19545,872,"4,27%",21527,20801,726,"3,37%","21,04%",
Carapicuíba/SP,SP,351060,279841,267642,12191,"4,36%",309682,299217,10465,"3,38%","22,43%",
Santa Rosa de Viterbo/SP,SP,354760,18914,17980,934,"4,94%",19358,18704,654,"3,38%","31,58%",
Suzano/SP,SP,355250,197127,187569,9558,"4,85%",244816,236528,8288,"3,39%","30,18%",
Ibiam/SC,SC,420675,1555,1459,96,"6,17%",1623,1568,55,"3,39%","45,11%",
Mondaí/SC,SC,421100,8241,7882,359,"4,36%",8222,7943,279,"3,39%","22,10%",
Ouro/SC,SC,421180,5901,5649,252,"4,27%",5876,5677,199,"3,39%","20,70%",
Pinhalzinho/SC,SC,421290,12844,12208,636,"4,95%",17739,17138,601,"3,39%","31,58%",
Laranjal Paulista/SP,SP,352640,19957,19007,950,"4,76%",21539,20806,733,"3,40%","28,51%",
Rio das Pedras/SP,SP,354400,22673,21282,1391,"6,14%",25220,24363,857,"3,40%","44,61%",
Toledo/PR,PR,412770,93729,89417,4312,"4,60%",121498,117372,4126,"3,40%","26,18%",
Doutor Pedrinho/SC,SC,420515,2786,2678,108,"3,88%",3061,2957,104,"3,40%","12,35%",
Dona Francisca/RS,RS,430670,2768,2569,199,"7,19%",2589,2501,88,"3,40%","52,72%",
Frederico Westphalen/RS,RS,430850,23053,21984,1069,"4,64%",26846,25933,913,"3,40%","26,66%",
São José da Lapa/MG,MG,316295,14938,14123,815,"5,46%",21018,20302,716,"3,41%","37,56%",
Mangaratiba/RJ,RJ,330260,28379,27216,1163,"4,10%",33916,32758,1158,"3,41%","16,69%",19
Xanxerê/SC,SC,421950,34202,32294,1908,"5,58%",41553,40136,1417,"3,41%","38,87%",
Avaré/SP,SP,350450,65305,62164,3141,"4,81%",75402,72820,2582,"3,42%","28,80%",
