Cidade,UF,,,População,População sem Água,População sem Esgoto,População sem coleta de lixo
São Vicente de Minas,MG,São Vicente de Minas/MG,316530,6804,"16,92%","2,15%","16,92%"
Dobrada,SP,Dobrada/SP,351400,8759,"2,16%","2,16%","2,16%"
Perdigão,MG,Perdigão/MG,314970,12268,"22,01%","2,18%","10,34%"
Itapira,SP,Itapira/SP,352260,72022,"2,20%","2,20%","9,28%"
Itanhandu,MG,Itanhandu/MG,313310,15236,"2,21%","2,21%","0,07%"
Capitão Andrade,MG,Capitão Andrade/MG,311265,4585,"2,22%","2,22%","29,07%"
Carmópolis de Minas,MG,Carmópolis de Minas/MG,311450,18003,"2,26%","2,26%","2,26%"
Bandeira do Sul,MG,Bandeira do Sul/MG,310530,5943,"2,27%","2,27%","2,74%"
Vista Alegre do Alto,SP,Vista Alegre do Alto/SP,355690,8109,"2,28%","2,28%","1,34%"
Cafelândia,PR,Cafelândia/PR,410345,18997,"0,01%","2,31%","19,04%"
Córrego Danta,MG,Córrego Danta/MG,311980,2960,"38,31%","2,36%","31,28%"
Matão,SP,Matão/SP,352930,79033,"2,38%","2,38%","4,18%"
Barroso,MG,Barroso/MG,310590,20080,"13,89%","2,38%","2,38%"
Aguaí,SP,Aguaí/SP,350030,32072,"0,59%","2,42%","11,23%"
Palmares Paulista,SP,Palmares Paulista/SP,353510,9650,"2,39%","2,48%","1,81%"
Diadema,SP,Diadema/SP,351380,393237,"0,00%","2,51%",0%
Guarará,MG,Guarará/MG,312850,3149,"13,46%","2,51%","13,46%"
Urucânia,MG,Urucânia/MG,317050,10600,"31,73%","2,52%",--
Capetinga,MG,Capetinga/MG,311240,6562,"19,54%","2,54%","1,36%"
Terra Roxa,SP,Terra Roxa/SP,355440,7904,"3,07%","2,59%","0,01%"
Conceição das Pedras,MG,Conceição das Pedras/MG,311720,2772,"2,60%","2,60%","2,60%"
Cristina,MG,Cristina/MG,312050,10374,"0,29%","2,64%","70,56%"
Taboão da Serra,SP,Taboão da Serra/SP,355280,273542,"0,00%","2,68%",0%
São Paulo,SP,São Paulo/SP,355030,11451999,"0,71%","2,69%","1,73%"
Leme,SP,Leme/SP,352670,98161,"2,71%","2,71%","0,66%"
Araraquara,SP,Araraquara/SP,350320,242228,"3,02%","2,73%","1,01%"
Laranjal,MG,Laranjal/MG,313800,5963,"28,64%","2,73%","12,80%"
Douradoquara,MG,Douradoquara/MG,312350,1829,"2,73%","2,73%","22,14%"
Mirassol,SP,Mirassol/SP,353030,63337,"2,19%","2,74%","0,06%"
Descalvado,SP,Descalvado/SP,351370,31756,"2,79%","2,79%","10,32%"
Ipaussu,SP,Ipaussu/SP,352090,13712,"2,82%","2,82%","2,82%"
Itaguara,MG,Itaguara/MG,313220,13846,"1,44%","2,83%",5%
Bom Jesus dos Perdões,SP,Bom Jesus dos Perdões/SP,350710,22006,"1,40%","2,87%",0%
Paulo de Faria,SP,Paulo de Faria/SP,353660,7400,"1,61%","2,88%","9,57%"
Quissamã,RJ,Quissamã/RJ,330415,22393,"37,64%","2,88%",0%
Sacramento,MG,Sacramento/MG,315690,26670,"2,93%","2,93%","21,70%"
Itapetinga,BA,Itapetinga/BA,291640,65897,0%,"2,93%","2,93%"
Limeira,SP,Limeira/SP,352690,291869,"2,98%","2,98%","2,98%"
Porto Amazonas,PR,Porto Amazonas/PR,412010,4098,"0,02%",3%,"11,66%"
Sete Lagoas,MG,Sete Lagoas/MG,316720,227397,"1,02%","3,02%","0,02%"
Itororó,BA,Itororó/BA,291710,16617,"3,08%","3,08%","3,03%"
Riolândia,SP,Riolândia/SP,354420,10309,"1,74%","3,10%",0%
Jaú,SP,Jaú/SP,352530,133497,"3,10%","3,10%","0,86%"
Ribeirão Vermelho,MG,Ribeirão Vermelho/MG,315470,4080,"12,35%","3,11%","10,27%"
Guaimbê,SP,Guaimbê/SP,351730,5512,"3,12%","3,12%","13,79%"
Santa Cruz das Palmeiras,SP,Santa Cruz das Palmeiras/SP,354630,28864,"3,13%","3,13%","3,13%"
Uchoa,SP,Uchoa/SP,355560,10394,"3,15%","3,15%",10%
Governador Valadares,MG,Governador Valadares/MG,312770,257171,"0,92%","3,22%","1,95%"
Santo Antônio do Amparo,MG,Santo Antônio do Amparo/MG,315990,17285,"3,25%","3,25%","3,25%"
Catanduva,SP,Catanduva/SP,351110,115791,"3,27%","3,27%","0,72%"
Araçatuba,SP,Araçatuba/SP,350280,200124,"1,93%","3,30%",5%
Manhuaçu,MG,Manhuaçu/MG,313940,91886,"3,37%","3,37%","21,27%"
Joaquim Távora,PR,Joaquim Távora/PR,411280,11945,"0,02%","3,41%","23,92%"
Ipaba,MG,Ipaba/MG,313115,17136,"18,75%","3,41%",0%
Luís Antônio,SP,Luís Antônio/SP,352760,12265,"3,42%","3,42%","0,30%"
Engenheiro Paulo de Frontin,RJ,Engenheiro Paulo de Frontin/RJ,330180,12242,"31,29%","3,43%",--
Ourinhos,SP,Ourinhos/SP,353470,103970,"2,58%","3,46%","1,06%"
Vitória,ES,Vitória/ES,320530,322869,"0,00%","13,92%",0%
Três Rios,RJ,Três Rios/RJ,330600,78346,"3,12%","3,49%","2,10%"
Orizânia,MG,Orizânia/MG,314587,8437,"71,27%","3,54%","52,59%"
Veríssimo,MG,Veríssimo/MG,317110,3411,"43,59%","3,58%","43,59%"
Orlândia,SP,Orlândia/SP,353430,38319,"3,60%","3,60%","3,60%"
Rio Piracicaba,MG,Rio Piracicaba/MG,315570,14631,"28,88%","3,63%","10,12%"
Tarumã,SP,Tarumã/SP,355395,14882,"3,49%","3,64%","5,79%"
Tanabi,SP,Tanabi/SP,355340,25265,"0,77%","3,67%","9,27%"
Pitangui,MG,Pitangui/MG,315140,26685,"12,02%","3,69%","12,87%"
Carmo de Minas,MG,Carmo de Minas/MG,311410,13797,"3,70%","3,70%","23,66%"
Franca,SP,Franca/SP,351620,352536,"3,05%","3,73%","1,76%"
Cantagalo,RJ,Cantagalo/RJ,330110,19390,"29,10%","3,82%",0%
Penápolis,SP,Penápolis/SP,353730,61679,"3,85%","3,85%","3,85%"
Santana do Jacaré,MG,Santana do Jacaré/MG,315880,4214,"3,89%","3,89%","3,89%"
Lagoa Formosa,MG,Lagoa Formosa/MG,313750,18904,"3,89%","3,89%","1,11%"
Olímpia,SP,Olímpia/SP,353390,55074,"3,91%","3,91%","3,91%"
Bento de Abreu,SP,Bento de Abreu/SP,350620,2606,"3,34%","3,95%","4,76%"
Barbacena,MG,Barbacena/MG,310560,125317,0%,"3,97%","19,40%"
Rio Doce,MG,Rio Doce/MG,315500,2484,"3,99%","3,99%","3,99%"
Santa Fé do Sul,SP,Santa Fé do Sul/SP,354660,34794,"4,02%","4,02%","0,09%"
Ingaí,MG,Ingaí/MG,313080,2580,"40,50%","4,03%","40,50%"
Ouro Velho,PB,Ouro Velho/PB,251060,2918,"29,92%","4,04%","26,87%"
Fernandópolis,SP,Fernandópolis/SP,351550,71186,"3,39%","4,05%","2,19%"
Campinas,SP,Campinas/SP,350950,1139047,"0,31%","4,11%",0%
Santos,SP,Santos/SP,354850,418608,"1,70%","4,11%","1,09%"
Cerejeiras,RO,Cerejeiras/RO,110005,15890,"21,44%","4,11%",15%
Nova Odessa,SP,Nova Odessa/SP,353340,62019,"2,13%","4,13%","0,14%"
Matias Barbosa,MG,Matias Barbosa/MG,314080,14121,"4,35%","4,15%","4,35%"
Leopoldina,MG,Leopoldina/MG,313840,51145,"23,91%","4,15%","4,19%"
Rio de Janeiro,RJ,Rio de Janeiro/RJ,330455,6211223,"6,18%","4,20%",0%
Patrocínio Paulista,SP,Patrocínio Paulista/SP,353630,14512,"4,22%","4,22%","19,16%"
Bom Jesus da Penha,MG,Bom Jesus da Penha/MG,310760,4474,"31,72%","4,22%","27,25%"
Itumbiara,GO,Itumbiara/GO,521150,107970,"4,30%","4,30%","1,15%"
Votorantim,SP,Votorantim/SP,355700,127923,"3,71%","4,32%","2,70%"
Ibaté,SP,Ibaté/SP,351930,32178,"4,32%","4,32%","4,32%"
Osvaldo Cruz,SP,Osvaldo Cruz/SP,353460,31272,"2,52%","4,33%","10,28%"
Lobato,PR,Lobato/PR,411360,4601,"4,35%","4,35%","6,74%"
Clementina,SP,Clementina/SP,351190,6982,"4,37%","4,37%","4,37%"
Iracemápolis,SP,Iracemápolis/SP,352140,21967,"0,91%","4,40%","2,95%"
Mineiros do Tietê,SP,Mineiros do Tietê/SP,352980,11230,"4,44%","4,44%",--
São José dos Campos,SP,São José dos Campos/SP,354990,697054,"3,21%","4,47%","2,03%"
Niterói,RJ,Niterói/RJ,330330,481749,"0,00%","4,50%",0%
Jales,SP,Jales/SP,352480,48776,"3,36%","4,53%","5,92%"
Dom Silvério,MG,Dom Silvério/MG,312270,5228,"25,44%","4,53%","5,32%"
Mogi Guaçu,SP,Mogi Guaçu/SP,353070,153658,"4,55%","4,55%","4,06%"
Ariranha,SP,Ariranha/SP,350370,7602,"4,63%","4,63%","0,09%"
Itaúna,MG,Itaúna/MG,313380,97669,"3,50%","4,66%",0%
Barretos,SP,Barretos/SP,350550,122485,"4,64%","4,68%","5,47%"
Timóteo,MG,Timóteo/MG,316870,81579,"4,70%","4,70%","4,56%"
Igarapava,SP,Igarapava/SP,352010,26212,"4,74%","4,74%","8,44%"
Lucélia,SP,Lucélia/SP,352740,20061,"2,95%","4,75%","10,27%"
Sobrália,MG,Sobrália/MG,316770,5137,"38,84%","4,75%","20,19%"
Resende,RJ,Resende/RJ,330420,129612,"3,24%","4,77%",0%
Palmópolis,MG,Palmópolis/MG,314675,6301,"36,69%","4,78%",--
Campo Belo,MG,Campo Belo/MG,311120,52277,"3,89%","4,82%","0,31%"
Mercês,MG,Mercês/MG,314160,10373,"33,44%","4,90%","30,02%"
Macatuba,SP,Macatuba/SP,352800,16829,"4,93%","4,93%","4,93%"
Itapura,SP,Itapura/SP,352300,3979,"4,93%","4,93%","3,34%"
São João de Meriti,RJ,São João de Meriti/RJ,330510,440962,"16,54%","5,00%","10,70%"
Ipeúna,SP,Ipeúna/SP,352110,6831,"5,02%","5,02%","5,02%"
Floresta do Araguaia,PA,Floresta do Araguaia/PA,150304,17898,"5,02%","5,02%","83,24%"
Barueri,SP,Barueri/SP,350570,316473,"0,00%","5,07%",0%
Salto,SP,Salto/SP,354520,134319,"0,00%","5,11%",0%
Cajobi,SP,Cajobi/SP,350930,9133,"5,30%","5,30%","6,54%"
Divino das Laranjeiras,MG,Divino das Laranjeiras/MG,312210,4178,"17,78%","5,46%","6,65%"
Ibitinga,SP,Ibitinga/SP,351960,60033,"7,86%","5,50%",0%
Juiz de Fora,MG,Juiz de Fora/MG,313670,540756,"4,23%","5,51%","0,30%"
Bicas,MG,Bicas/MG,310690,13978,"12,47%","5,51%","5,39%"
Lorena,SP,Lorena/SP,352720,84855,"4,68%","5,54%","2,71%"
Nova Era,MG,Nova Era/MG,314470,17438,"5,54%","5,54%","8,25%"
Itabuna,BA,Itabuna/BA,291480,186708,"1,87%","5,62%","3,09%"
Pirapozinho,SP,Pirapozinho/SP,353920,25348,"0,00%","5,63%","4,88%"
Alvinlândia,SP,Alvinlândia/SP,350150,2885,"4,19%","5,65%",0%
Pindamonhangaba,SP,Pindamonhangaba/SP,353800,165428,"3,30%","5,71%",0%
Santa Luzia,PB,Santa Luzia/PB,251340,14959,"5,07%","5,74%","8,46%"
Planura,MG,Planura/MG,315160,11145,"8,42%","5,76%","5,76%"
Oriente,SP,Oriente/SP,353410,6085,"5,55%","5,83%","6,77%"
Rodelas,BA,Rodelas/BA,292710,10308,"5,90%","5,90%","2,99%"
Santa Vitória,MG,Santa Vitória/MG,315980,20973,"22,92%","5,93%","9,41%"
Quintana,SP,Quintana/SP,354200,7038,"3,51%","5,97%","4,99%"
Taquaritinga,SP,Taquaritinga/SP,355370,52260,"6,00%","6,00%",6%
Campina Grande,PB,Campina Grande/PB,250400,419379,"0,30%","6,02%","2,29%"
Frei Inocêncio,MG,Frei Inocêncio/MG,312690,8226,"24,51%","6,03%","24,51%"
Mar de Espanha,MG,Mar de Espanha/MG,313980,12721,"14,31%","6,08%","10,81%"
Osasco,SP,Osasco/SP,353440,728615,"0,00%","6,09%",0%
Delta,MG,Delta/MG,312125,10494,"6,12%","6,12%","6,12%"
Ilha Solteira,SP,Ilha Solteira/SP,352044,25549,"0,00%","6,16%","6,16%"
São Gonçalo do Rio Abaixo,MG,São Gonçalo do Rio Abaixo/MG,316190,11850,"6,21%","6,21%","36,87%"
Louveira,SP,Louveira/SP,352730,51847,"0,03%","6,23%",0%
Ceres,GO,Ceres/GO,520540,22046,"1,87%","6,29%","6,29%"
Mirandópolis,SP,Mirandópolis/SP,353010,27983,"0,00%","6,36%","0,17%"
Guaranésia,MG,Guaranésia/MG,312830,19150,"15,24%","6,45%","2,87%"
Manduri,SP,Manduri/SP,352860,9871,"5,87%","6,46%","9,23%"
Indaiatuba,SP,Indaiatuba/SP,352050,255748,"5,54%","6,47%",0%
Dores de Campos,MG,Dores de Campos/MG,312300,10007,"6,48%","6,48%","6,53%"
Toledo,PR,Toledo/PR,412770,150470,"0,01%","6,49%",2%
Cafelândia,SP,Cafelândia/SP,350880,16654,"6,54%","6,54%","14,05%"
São Gonçalo do Pará,MG,São Gonçalo do Pará/MG,316180,11770,"29,17%","6,54%","4,10%"
Nova Granada,SP,Nova Granada/SP,353300,19419,"5,69%","6,57%","7,62%"
Quatá,SP,Quatá/SP,354170,13163,"6,10%","6,78%","2,39%"
Ibirá,SP,Ibirá/SP,351940,11690,"5,58%","6,84%","42,75%"
São José da Barra,MG,São José da Barra/MG,316294,7793,"32,38%","6,90%","30,69%"
Caxias do Sul,RS,Caxias do Sul/RS,430510,463501,"2,16%","6,93%",0%
São José do Rio Preto,SP,São José do Rio Preto/SP,354980,480393,"0,00%","7,00%","0,99%"
Nossa Senhora das Dores,SE,Nossa Senhora das Dores/SE,280460,24996,"0,92%","7,01%","10,95%"
Guaporé,RS,Guaporé/RS,430940,25268,"5,38%","7,04%","9,86%"
Lagoa da Prata,MG,Lagoa da Prata/MG,313720,51412,"6,22%","7,04%",0%
Ouroeste,SP,Ouroeste/SP,353475,10294,"5,13%","7,06%","0,06%"
Paraguaçu Paulista,SP,Paraguaçu Paulista/SP,353550,41120,"6,35%","7,08%","9,50%"
Canápolis,MG,Canápolis/MG,311180,10608,"16,87%","7,20%","7,20%"
Boa Vista,RR,Boa Vista/RR,140010,413486,"3,55%","7,20%","3,55%"
Paracambi,RJ,Paracambi/RJ,330360,41375,"57,39%","7,24%","2,97%"
Alpercata,MG,Alpercata/MG,310180,6903,"34,77%","7,24%","26,80%"
Passos,MG,Passos/MG,314790,111939,"6,30%","7,26%","6,30%"
Tremembé,SP,Tremembé/SP,355480,51173,"3,53%","7,28%",0%
São Simão,GO,São Simão/GO,522040,17020,"1,20%","7,31%","5,99%"
Dourado,SP,Dourado/SP,351430,8096,"5,56%","7,31%","7,05%"
São João da Mata,MG,São João da Mata/MG,316230,2914,"7,34%","7,31%","39,60%"
Lima Duarte,MG,Lima Duarte/MG,313860,17221,"7,31%","7,31%",0%
Bady Bassitt,SP,Bady Bassitt/SP,350460,27260,"7,39%","7,39%","7,39%"
Aracruz,ES,Aracruz/ES,320060,94765,"0,00%","15,05%","1,35%"
Areiópolis,SP,Areiópolis/SP,350360,10130,"7,06%","7,43%","13,99%"
Auriflama,SP,Auriflama/SP,350420,13692,"4,94%","7,45%",--
Varginha,MG,Varginha/MG,317070,136467,"6,39%","7,48%","1,37%"
Icém,SP,Icém/SP,351980,7819,"2,01%","7,49%","15,49%"
Pracinha,SP,Pracinha/SP,354085,2578,"33,05%","7,49%","52,06%"
Botucatu,SP,Botucatu/SP,350750,145155,"2,45%","7,50%",0%
Guararapes,SP,Guararapes/SP,351820,31043,"0,08%","7,53%","7,53%"
Regente Feijó,SP,Regente Feijó/SP,354240,20145,"6,47%","7,54%","7,78%"
Viçosa,MG,Viçosa/MG,317130,76430,4%,"7,56%",2%
Nova Ponte,MG,Nova Ponte/MG,314500,14598,"7,56%","7,56%","7,56%"
Bocaina,SP,Bocaina/SP,350680,11259,"4,49%","7,57%","1,72%"
São Manuel,SP,São Manuel/SP,355010,37289,"5,61%","7,57%","2,42%"
Quatis,RJ,Quatis/RJ,330412,13682,"7,57%","7,57%",0%
Pradópolis,SP,Pradópolis/SP,354090,17078,"7,58%","7,58%","7,58%"
Santa Rosa de Viterbo,SP,Santa Rosa de Viterbo/SP,354760,23411,"5,67%","7,61%","3,16%"
Santa Adélia,SP,Santa Adélia/SP,354560,14018,"7,19%","7,62%","5,39%"
Cachoeira da Prata,MG,Cachoeira da Prata/MG,310960,3693,"7,23%","7,69%","5,23%"
Brasília,DF,Brasília/DF,530010,2817381,"1,01%","7,70%","2,23%"
Santa Helena de Goiás,GO,Santa Helena de Goiás/GO,521930,38492,"3,37%","7,76%","7,76%"
Pereira Barreto,SP,Pereira Barreto/SP,353740,24095,"7,79%","7,79%","7,79%"
São João da Boa Vista,SP,São João da Boa Vista/SP,354910,92547,"6,92%","7,80%","4,23%"
Orindiúva,SP,Orindiúva/SP,353420,6024,"7,62%","7,85%","8,55%"
Santa Juliana,MG,Santa Juliana/MG,315770,15734,"27,86%","7,86%","8,48%"
Tocantins,MG,Tocantins/MG,316900,16185,"7,87%","7,87%","24,83%"
Quirinópolis,GO,Quirinópolis/GO,521850,48447,"5,90%","7,88%","7,88%"
Pontes Gestal,SP,Pontes Gestal/SP,354030,2387,"7,00%","7,88%","17,64%"
Muriaé,MG,Muriaé/MG,314390,104108,"7,89%","7,89%","7,89%"
Flórida Paulista,SP,Flórida Paulista/SP,351600,12958,"6,27%","7,92%",0%
Brejões,BA,Brejões/BA,290430,12943,"27,59%","7,95%","26,60%"
Paraíso do Norte,PR,Paraíso do Norte/PR,411800,13245,"0,02%","7,97%","2,09%"
Cosmópolis,SP,Cosmópolis/SP,351280,59773,"7,99%","7,99%","0,10%"
Álvaro de Carvalho,SP,Álvaro de Carvalho/SP,350140,4808,"28,87%","7,99%","16,81%"
Campina Grande do Sul,PR,Campina Grande do Sul/PR,410400,47825,"0,01%","8,01%","0,05%"
Morro Agudo,SP,Morro Agudo/SP,353190,27933,"4,03%","8,02%","8,02%"
Vargem Bonita,MG,Vargem Bonita/MG,317060,2158,"51,48%","8,06%","51,48%"
Andradina,SP,Andradina/SP,350210,59783,"7,16%","8,10%","5,48%"
Dracena,SP,Dracena/SP,351440,45474,"0,50%","8,11%","8,11%"
Bilac,SP,Bilac/SP,350640,7319,"8,16%","8,16%","8,16%"
São Bernardo do Campo,SP,São Bernardo do Campo/SP,354870,810729,"1,73%","8,17%","0,02%"
Guaratinguetá,SP,Guaratinguetá/SP,351840,118044,"1,31%","8,24%","1,01%"
Santa Rita de Minas,MG,Santa Rita de Minas/MG,315935,6773,"33,10%","8,25%","8,25%"
São Lourenço,MG,São Lourenço/MG,316370,44798,"0,82%","8,26%","0,82%"
Hortolândia,SP,Hortolândia/SP,351907,236641,"6,85%","8,27%",0%
Ipatinga,MG,Ipatinga/MG,313130,227731,"8,27%","8,27%","7,31%"
Agudos,SP,Agudos/SP,350070,37680,"7,41%","8,29%","0,41%"
Porto Alegre,RS,Porto Alegre/RS,431490,1332845,"0,02%","8,30%","0,02%"
Rochedo de Minas,MG,Rochedo de Minas/MG,315620,2291,"8,34%","8,34%","9,52%"
Dolcinópolis,SP,Dolcinópolis/SP,351420,2207,"6,66%","8,43%",0%
Palestina,SP,Palestina/SP,353500,11476,"7,16%","8,44%","9,73%"
Ipê,RS,Ipê/RS,431043,5399,"39,58%","8,45%","22,21%"
Tupã,SP,Tupã/SP,355500,63928,"7,78%","8,46%","5,53%"
Pirassununga,SP,Pirassununga/SP,353930,73545,"8,50%","8,50%",0%
Dom Cavati,MG,Dom Cavati/MG,312250,4904,"20,02%","8,52%","11,56%"
Ibirarema,SP,Ibirarema/SP,351950,6385,"8,55%","8,55%","8,55%"
Borborema,SP,Borborema/SP,350740,14226,"6,05%","8,62%","6,05%"
Ituiutaba,MG,Ituiutaba/MG,313420,102217,"8,67%","8,67%","7,92%"
Ibituruna,MG,Ibituruna/MG,313000,2698,"8,67%","8,67%","20,83%"
Araxá,MG,Araxá/MG,310400,111691,"8,02%","8,70%",0%
Santa Cruz do Rio Pardo,SP,Santa Cruz do Rio Pardo/SP,354640,46442,"6,52%","8,71%","1,07%"
Guzolândia,SP,Guzolândia/SP,351890,4246,"6,64%","8,71%","0,19%"
Edéia,GO,Edéia/GO,520740,11747,"8,21%","8,72%","8,72%"
Loanda,PR,Loanda/PR,411350,23225,"0,01%","8,72%","9,39%"
Uruguaiana,RS,Uruguaiana/RS,432240,117210,"6,39%","8,73%","8,08%"
Três Lagoas,MS,Três Lagoas/MS,500830,132152,"5,24%","8,78%","4,64%"
Canitar,SP,Canitar/SP,351015,6283,"8,79%","8,79%",--
Boracéia,SP,Boracéia/SP,350730,4715,"8,78%","8,89%","10,24%"
Promissão,SP,Promissão/SP,354160,35131,"6,07%","8,91%","15,68%"
Guarulhos,SP,Guarulhos/SP,351880,1291771,"0,86%","8,93%",0%
Araucária,PR,Araucária/PR,410180,151666,"0,01%","8,97%",0%
José Bonifácio,SP,José Bonifácio/SP,352570,36633,"5,00%","9,00%","4,46%"
Novais,SP,Novais/SP,353325,4412,"9,00%","9,00%",9%
Joviânia,GO,Joviânia/GO,521210,7159,"3,56%","9,01%","4,64%"
São Sepé,RS,São Sepé/RS,431960,21219,"12,43%","9,04%","21,02%"
Pinheiro Machado,RS,Pinheiro Machado/RS,431450,11214,"17,25%","9,04%","13,74%"
Pinheiral,RJ,Pinheiral/RJ,330395,24298,"11,12%","9,05%",0%
Mendonça,SP,Mendonça/SP,352950,6159,"9,06%","9,06%",0%
Bias Fortes,MG,Bias Fortes/MG,310680,3361,"9,07%","9,07%","51,80%"
Jaborandi,SP,Jaborandi/SP,352420,6221,"9,69%","9,11%","6,43%"
Santa Rita de Ibitipoca,MG,Santa Rita de Ibitipoca/MG,315940,3301,"52,89%","9,12%","9,12%"
Herculândia,SP,Herculândia/SP,351900,9125,"9,07%","9,15%","9,07%"
Taubaté,SP,Taubaté/SP,355410,310739,"7,22%","9,20%",0%
Jandira,SP,Jandira/SP,352500,118045,"0,00%","9,32%",0%
São Geraldo do Baixio,MG,São Geraldo do Baixio/MG,316165,3143,"1,37%","9,32%","30,86%"
Campos Novos,SC,Campos Novos/SC,420360,36932,0%,"9,34%","17,45%"
Itaperuna,RJ,Itaperuna/RJ,330220,101041,"9,39%","9,39%","4,99%"
Aimorés,MG,Aimorés/MG,310110,25269,0%,"9,40%","16,89%"
Valentim Gentil,SP,Valentim Gentil/SP,355610,14098,"9,34%","9,46%",0%
Itambé,PR,Itambé/PR,411110,6111,"0,02%","9,47%","5,11%"
Santo Antônio de Posse,SP,Santo Antônio de Posse/SP,354800,23244,"9,35%","9,57%","6,84%"
Neves Paulista,SP,Neves Paulista/SP,353250,9699,"9,57%","9,57%","17,03%"
Ferraz de Vasconcelos,SP,Ferraz de Vasconcelos/SP,351570,179198,"3,03%","9,65%",0%
Queiroz,SP,Queiroz/SP,354180,3265,"9,31%","9,65%",--
Colina,SP,Colina/SP,351200,18486,"9,67%","9,67%","6,99%"
Machacalis,MG,Machacalis/MG,313890,6487,"18,19%","9,68%","18,19%"
Irati,PR,Irati/PR,411070,59250,"0,01%","9,71%","20,06%"
Luiziânia,SP,Luiziânia/SP,352770,4701,"8,96%","9,76%","8,13%"
Planalto,SP,Planalto/SP,353960,4389,"7,84%","9,82%","15,56%"
Itabira,MG,Itabira/MG,313170,113343,"4,52%","9,83%","3,32%"
Birigui,SP,Birigui/SP,350650,118979,"0,00%","9,86%","64,70%"
Rubiácea,SP,Rubiácea/SP,354440,2700,"7,67%","9,89%","43,15%"
Chavantes,SP,Chavantes/SP,355720,12211,"6,29%","9,90%","8,96%"
São Pedro da União,MG,São Pedro da União/MG,316390,4885,"44,99%","9,93%","6,59%"
Vinhedo,SP,Vinhedo/SP,355670,76540,"2,90%","9,95%","3,14%"
Paraopeba,MG,Paraopeba/MG,314740,24107,"17,13%","9,98%","17,87%"
Presidente Kubitschek,MG,Presidente Kubitschek/MG,315330,3071,0%,10%,"2,25%"
Mariana,MG,Mariana/MG,314000,61387,2%,10%,"2,26%"
Palmas,TO,Palmas/TO,172100,302692,"2,07%","10,04%",0%
Urupês,SP,Urupês/SP,355600,13744,"10,08%","10,08%","12,33%"
Porto Real,RJ,Porto Real/RJ,330411,20373,"7,87%","10,08%",0%
Carapicuíba,SP,Carapicuíba/SP,351060,386984,"0,00%","10,10%",0%
Artur Nogueira,SP,Artur Nogueira/SP,350380,51456,"0,00%","10,14%",5%
Santo Antônio do Grama,MG,Santo Antônio do Grama/MG,316010,4229,"26,18%","10,14%","19,60%"
Cardoso,SP,Cardoso/SP,351070,11345,"6,07%","10,19%","9,56%"
Divinópolis,MG,Divinópolis/MG,312230,231091,"0,96%","10,22%",0%
Pompéia,SP,Pompéia/SP,354000,20196,"7,08%","10,24%","0,12%"
Salmourão,SP,Salmourão/SP,354510,4808,"7,95%","10,27%","2,25%"
Jataí,GO,Jataí/GO,521190,105729,"9,86%","10,31%","1,64%"
Jataizinho,PR,Jataizinho/PR,411270,11813,"6,58%","10,33%",0%
Ouro Branco,MG,Ouro Branco/MG,314590,38724,"9,89%","10,35%",0%
Batatais,SP,Batatais/SP,350590,58402,"10,14%","10,39%","10,14%"
Volta Grande,MG,Volta Grande/MG,317210,4443,"26,29%","10,42%","14,47%"
Inúbia Paulista,SP,Inúbia Paulista/SP,352080,3615,"9,46%","10,43%","1,33%"
Bandeirantes,PR,Bandeirantes/PR,410240,31273,"6,37%","10,44%","6,77%"
Belmiro Braga,MG,Belmiro Braga/MG,310610,3244,"72,66%","10,45%","30,64%"
Belo Vale,MG,Belo Vale/MG,310640,8627,"60,86%","10,48%","29,91%"
Santa Rita do Passa Quatro,SP,Santa Rita do Passa Quatro/SP,354750,24833,"10,49%","10,49%","3,35%"
São José do Barreiro,SP,São José do Barreiro/SP,354960,3853,"10,54%","10,54%","9,58%"
São José dos Pinhais,PR,São José dos Pinhais/PR,412550,329628,"0,01%","10,58%","0,12%"
Orleans,SC,Orleans/SC,421170,23661,"2,16%","10,61%","23,93%"
Garça,SP,Garça/SP,351670,42110,"10,64%","10,64%","5,01%"
Formosa,GO,Formosa/GO,520800,115901,"2,90%","10,72%","0,20%"
Lupércio,SP,Lupércio/SP,352780,3981,"10,47%","10,75%","12,23%"
Campos Belos,GO,Campos Belos/GO,520490,18108,0%,"10,76%","6,12%"
Tarabai,SP,Tarabai/SP,355390,6536,"9,09%","10,80%","7,56%"
Cláudia,MT,Cláudia/MT,510305,9593,"3,30%","10,86%","3,30%"
Goianésia,GO,Goianésia/GO,520860,73707,"10,25%","10,87%","7,17%"
João Pessoa,PB,João Pessoa/PB,250750,833932,0%,"10,88%",0%
Canaã,MG,Canaã/MG,311170,4715,"59,96%","10,92%","40,62%"
Piraquara,PR,Piraquara/PR,411950,118730,"0,14%","10,95%",0%
Valinhos,SP,Valinhos/SP,355620,126373,"6,51%","10,97%","0,04%"
Tambaú,SP,Tambaú/SP,355330,21435,"10,98%","10,98%","10,98%"
Rinópolis,SP,Rinópolis/SP,354380,9259,"11,01%","11,01%","13,15%"
Piacatu,SP,Piacatu/SP,353770,5519,"9,10%","11,03%","11,92%"
Conselheiro Mairinck,PR,Conselheiro Mairinck/PR,410610,3461,"0,03%","11,04%","12,97%"
Estiva Gerbi,SP,Estiva Gerbi/SP,355730,11295,"0,00%","11,08%","1,73%"
Pedrinhas Paulista,SP,Pedrinhas Paulista/SP,353715,2804,"10,70%","11,09%","16,08%"
